Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
AA;Alcoa Corporation Common Stock ;$51.0366;48.666;10541%;9549108472.00;;2016;8388561;Basic Industries;Metal Fabrications
ACH;Aluminum Corporation of China Limited American Depositary Shares;$13.8879;0.9879;7658%;9456367186.00;China;2001;114189;Basic Industries;Aluminum
ADES;Advanced Emissions Solutions Inc. Common Stock;$7.50;-0.06;-0.794%;141399660.00;United States;;122491;Basic Industries;Industrial Specialties
AIN;Albany International Corporation Common Stock;$88.275;0.035;0.04%;2858432775.00;United States;;16942;Basic Industries;Textiles
ALACW;Alberton Acquisition Corporation Warrant;$0.40;0.0094;2407%;0.00;Hong Kong;2018;11200;Basic Industries;Engineering & Construction
ALB;Albemarle Corporation Common Stock;$267.235;1.485;0.559%;31260166341.00;United States;;269443;Basic Industries;Industrial Specialties
ALTO;Alto Ingredients Inc. Common Stock;$6.1501;0.2501;4239%;447773154.00;United States;;721475;Basic Industries;Industrial Specialties
AMRC;Ameresco Inc. Class A Common Stock;$95.52;2.98;3.22%;4924959619.00;United States;2010;71708;Basic Industries;Water Supply
AMRS;Amyris Inc. Common Stock;$7.77;0.26;3462%;2395016090.00;United States;2010;9354814;Basic Industries;Industrial Specialties
APD;Air Products and Chemicals Inc. Common Stock;$314.50;0.23;0.073%;69619185570.00;United States;;333434;Basic Industries;Specialty Chemicals
APWC;Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda);$3.0212;0.0262;0.875%;41751984.00;Taiwan;;97493;Basic Industries;Telecommunications Equipment
ASA;ASA  Gold and Precious Metals Limited;$22.22;0.51;2349%;428621689.00;United States;;34587;Basic Industries;Precious Metals
ASH;Ashland Global Holdings Inc. Common Stock;$103.11;2.78;2771%;6262215925.00;United States;;186232;Basic Industries;Specialty Chemicals
ASIX;AdvanSix Inc. Common Stock ;$50.455;1.955;4031%;1419422563.00;United States;2016;78307;Basic Industries;Major Chemicals
ATC;Atotech Limited Common Shares;$24.815;0.225;0.915%;4831377071.00;;2021;71469;Basic Industries;Major Chemicals
ATI;Allegheny Technologies Incorporated Common Stock;$17.42;0.16;0.927%;2216666222.00;United States;;263260;Basic Industries;Steel/Iron Ore
AU;AngloGold Ashanti Limited Common Stock;$20.91;0.86;4289%;8726691059.00;South Africa;;3207859;Basic Industries;Precious Metals
AUMN;Golden Minerals Company Common Stock;$0.48;0.0143;3071%;78146214.00;United States;;616441;Basic Industries;Metal Mining
AVD;American Vanguard Corporation Common Stock ($0.10 Par Value);$17.83;0.15;0.848%;550558324.00;United States;;28864;Basic Industries;Agricultural Chemicals
AVNT;Avient Corporation Common Stock;$58.99;1.04;1795%;5397076506.00;United States;;105871;Basic Industries;Major Chemicals
AVTR;Avantor Inc. Common Stock;$38.27;-0.05;-0.13%;23323755824.00;;2019;1117939;Basic Industries;Industrial Specialties
AXTA;Axalta Coating Systems Ltd. Common Shares;$32.245;0.105;0.327%;7363176834.00;United States;2014;369168;Basic Industries;Paints/Coatings
BAK;Braskem SA ADR;$18.19;0.17;0.943%;7240222744.00;Brazil;;83407;Basic Industries;Major Chemicals
BCPC;Balchem Corporation Common Stock;$163.16;0.02;0.012%;5283383651.00;United States;;7802;Basic Industries;Industrial Specialties
BDC;Belden Inc Common Stock;$68.40;2.32;3511%;3071055827.00;United States;;63250;Basic Industries;Telecommunications Equipment
BG;Bunge Limited Bunge Limited;$93.80;1.50;1625%;13180794666.00;United States;2001;341205;Basic Industries;Agricultural Chemicals
BHP;BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares);$54.945;2.625;5017%;139050408971.00;Australia;;1919872;Basic Industries;Precious Metals
BIOX;Bioceres Crop Solutions Corp. Ordinary Shares;$13.945;0.895;6858%;573196493.00;Argentina;;192309;Basic Industries;Agricultural Chemicals
BRCN;Burcon NutraScience Corp. Common Stock;$1.47;0.01;0.685%;159482681.00;Canada;;34711;Basic Industries;Precious Metals
BVN;Buenaventura Mining Company Inc.;$7.595;0.125;1673%;1929030255.00;Peru;1996;422545;Basic Industries;Precious Metals
CBT;Cabot Corporation Common Stock;$58.535;1.415;2477%;3320312238.00;United States;;77595;Basic Industries;Specialty Chemicals
CC;Chemours Company (The) Common Stock;$32.39;1.09;3482%;5278301802.00;United States;2015;403002;Basic Industries;Industrial Specialties
CCF;Chase Corporation Common Stock;$105.885;-0.505;-0.475%;1000533624.00;United States;;3031;Basic Industries;Paints/Coatings
CDE;Coeur Mining Inc. Common Stock;$7.27;0.22;3121%;1868054548.00;United States;;2096236;Basic Industries;Precious Metals
CE;Celanese Corporation Celanese Corporation Common Stock;$171.55;2.59;1533%;18676793974.00;United States;2005;382256;Basic Industries;Major Chemicals
CENX;Century Aluminum Company Common Stock;$14.98;1.38;10147%;1350134188.00;United States;1996;1010078;Basic Industries;Aluminum
CF;CF Industries Holdings Inc. Common Stock;$63.745;0.775;1231%;13671736923.00;United States;2005;752911;Basic Industries;Agricultural Chemicals
CGA;China Green Agriculture Inc. Common Stock;$11.569;0.1287;1125%;98193380.00;China;;4735;Basic Industries;Agricultural Chemicals
CHNR;China Natural Resources Inc. Common Stock;$1.23;0.01;0.82%;50366141.00;Hong Kong;;6094;Basic Industries;Precious Metals
CINR;Ciner Resources LP Common Units representing Limited Partner Interests;$18.12;-0.025;-0.138%;358378375.00;;2013;8188;Basic Industries;Specialty Chemicals
CLW;Clearwater Paper Corporation Common Stock;$38.99;0.76;1988%;650717211.00;United States;;15758;Basic Industries;Paper
CMC;Commercial Metals Company Common Stock;$34.66;1.13;3.37%;4179668186.00;United States;;194120;Basic Industries;Steel/Iron Ore
