Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
ABB;ABB Ltd Common Stock;$34.753;0.123;0.355%;69262729000.00;Switzerland;;545391;Consumer Durables;Electrical Products
ACRX;AcelRx Pharmaceuticals Inc. Common Stock;$0.7959;-0.0124;-1534%;94855208.00;United States;2011;355149;Consumer Durables;Specialty Chemicals
ACU;Acme United Corporation. Common Stock;$37.00;-0.001;-0.003%;130932196.00;United States;1988;1122;Consumer Durables;Home Furnishings
ADTX;Aditxt Inc. Common Stock;$1.901;0.031;1658%;51156568.00;United States;2020;765498;Consumer Durables;Specialty Chemicals
AEIS;Advanced Energy Industries Inc. Common Stock;$95.255;2.005;2.15%;3655227164.00;United States;1995;49051;Consumer Durables;Electrical Products
AIKI;AIkido Pharma Inc. Common Stock;$0.80;-0.0068;-0.843%;71744917.00;United States;;933415;Consumer Durables;Specialty Chemicals
AKUS;Akouos Inc. Common Stock;$9.09;-0.10;-1088%;313425100.00;United States;2020;21500;Consumer Durables;Specialty Chemicals
ALZN;Alzamend Neuro Inc. Common Stock;$2.34;0.19;8837%;203317588.00;United States;2021;2834410;Consumer Durables;Specialty Chemicals
AMCR;Amcor plc Ordinary Shares;$12.325;-0.015;-0.122%;18896306668.00;;2019;892753;Consumer Durables;Miscellaneous manufacturing industries
AME;AMETEK Inc.;$139.27;-0.15;-0.108%;32216655869.00;United States;;132179;Consumer Durables;Metal Fabrications
AMTI;Applied Molecular Transport Inc. Common Stock;$21.63;-1.17;-5132%;831125439.00;United States;2020;65247;Consumer Durables;Specialty Chemicals
AMWD;American Woodmark Corporation Common Stock;$73.44;0.08;0.109%;1216772574.00;United States;1986;7799;Consumer Durables;Building Products
ANVS;Annovis Bio Inc. Common Stock;$33.625;3.315;10937%;272381666.00;United States;2020;152164;Consumer Durables;Specialty Chemicals
ARHS;Arhaus Inc. Class A Common Stock;$11.11;-0.37;-3223%;1556102341.00;United States;2021;339513;Consumer Durables;Wholesale Distributors
ATHA;Athira Pharma Inc. Common Stock;$15.92;1.06;7133%;593751301.00;United States;2020;183651;Consumer Durables;Specialty Chemicals
ATXI;Avenue Therapeutics Inc. Common Stock;$1.32;0.03;2326%;22166850.00;United States;2017;39892;Consumer Durables;Specialty Chemicals
AVIR;Atea Pharmaceuticals Inc. Common Stock;$10.58;-0.09;-0.843%;875779993.00;United States;2020;433412;Consumer Durables;Specialty Chemicals
AYI;Acuity Brands Inc. ;$221.22;-1.05;-0.472%;7726018685.00;United States;;27724;Consumer Durables;Building Products
AYLA;Ayala Pharmaceuticals Inc. Common Stock;$11.48;-0.97;-7791%;152027734.00;Israel;2020;20061;Consumer Durables;Specialty Chemicals
