Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
ABEV;Ambev S.A. American Depositary Shares (Each representing 1 Common Share);$3.255;0.075;2358%;51224441651.00;;2013;9369994;Consumer Non-Durables;Beverages (Production/Distribution)
AKA;a.k.a. Brands Holding Corp. Common Stock;$12.345;0.495;4177%;1562755291.00;;2021;181453;Consumer Non-Durables;Department/Specialty Retail Stores
ANDE;Andersons Inc. (The) Common Stock;$38.625;0.385;1007%;1285679552.00;United States;;55073;Consumer Non-Durables;Tobacco
ASO;Academy Sports and Outdoors Inc. Common Stock;$46.52;0.99;2174%;4140113738.00;United States;2020;480555;Consumer Non-Durables;Recreational Products/Toys
AXON;Axon Enterprise Inc. Common Stock;$168.6805;-15.695;-0.922%;11078207384.00;United States;;139003;Consumer Non-Durables;Military/Government/Technical
BBIG;Vinco Ventures Inc. Common Stock;$4.46;0.09;2059%;477315359.00;United States;2018;3499809;Consumer Non-Durables;Recreational Products/Toys
BC;Brunswick Corporation Common Stock;$101.5237;23.237;2342%;7827002951.00;United States;;239478;Consumer Non-Durables;Recreational Products/Toys
BERY;Berry Global Group Inc. Common Stock;$67.62;0.34;0.505%;9148986000.00;United States;2012;147092;Consumer Non-Durables;Plastic Products
BGS;B&G Foods Inc. B&G Foods Inc. Common Stock;$32.81;0.16;0.49%;2129267584.00;United States;;149631;Consumer Non-Durables;Packaged Foods
BHAT;Blue Hat Interactive Entertainment Technology Ordinary Shares;$0.6495;0.0095;1484%;22824154.00;China;2019;314609;Consumer Non-Durables;Recreational Products/Toys
BIRD;Allbirds Inc. Class A Common Stock;$21.6144;0.9944;4823%;3114231996.00;United States;2021;507578;Consumer Non-Durables;Shoe Manufacturing
BRBR;BellRing Brands Inc. Class A Common Stock;$26.98;0.47;1773%;1065991401.00;United States;2019;57798;Consumer Non-Durables;Beverages (Production/Distribution)
BRFS;BRF S.A.;$4.305;0.065;1533%;3480211792.00;Brazil;;811017;Consumer Non-Durables;Meat/Poultry/Fish
BRID;Bridgford Foods Corporation Common Stock;$12.59;-0.11;-0.866%;114277315.00;United States;;427;Consumer Non-Durables;Specialty Foods
BRLT;Brilliant Earth Group Inc. Class A Common Stock;$14.76;0.94;6802%;141449980.00;United States;2021;105002;Consumer Non-Durables;Consumer Specialties
BSFC;Blue Star Foods Corp. Common Stock;$3.4845;0.2145;6.56%;81319662.00;United States;;18004;Consumer Non-Durables;Farming/Seeds/Milling
BTI;British American Tobacco  Industries p.l.c. Common Stock ADR;$34.945;-0.005;-0.014%;80186756681.00;United Kingdom;;1607347;Consumer Non-Durables;Farming/Seeds/Milling
BTTR;Better Choice Company Inc. Common Stock;$3.94;-0.05;-1253%;116569202.00;;2021;35309;Consumer Non-Durables;Food Distributors
BUD;Anheuser-Busch Inbev SA Sponsored ADR (Belgium);$60.165;0.045;0.075%;104424604196.00;Belgium;;353367;Consumer Non-Durables;Beverages (Production/Distribution)
BUR;Burford Capital Limited Ordinary Shares;$11.27;0.13;1167%;2468692114.00;;2020;23677;Consumer Non-Durables;Farming/Seeds/Milling
BURL;Burlington Stores Inc. Common Stock;$277.19;-15.44;-5276%;18495357502.00;;2013;525754;Consumer Non-Durables;Apparel
BYND;Beyond Meat Inc. Common Stock;$81.38;-13.10;-13865%;5147646978.00;United States;2019;14363954;Consumer Non-Durables;Specialty Foods
BYRN;Byrna Technologies Inc. Common Stock;$15.21;-0.03;-0.197%;359168103.00;United States;;55013;Consumer Non-Durables;Military/Government/Technical
