Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
AE;Adams Resources & Energy Inc. Common Stock;$29.59;0.215;0.732%;128864480.00;United States;;994;Energy;Oilfield Services/Equipment
ALTM;Altus Midstream Company Class A Common Stock;$65.66;1.79;2803%;245992564.00;United States;2017;8745;Energy;Oil & Gas Production
AMPY;Amplify Energy Corp. Common Stock;$3.18;0.04;1274%;120817823.00;United States;2016;581070;Energy;Oil & Gas Production
AMR;Alpha Metallurgical Resources Inc. Common Stock;$53.66;1.40;2679%;987367771.00;United States;2018;91458;Energy;Coal Mining
AMTX;Aemetis Inc. Common Stock;$18.82;-1.31;-6508%;596396710.00;United States;;771424;Energy;Oilfield Services/Equipment
APA;APA Corporation Common Stock;$29.65;0.92;3202%;10771081779.00;United States;;2693396;Energy;Oil & Gas Production
AR;Antero Resources Corporation Common Stock;$19.66;0.66;3474%;6171863643.00;;2013;2060927;Energy;Oil & Gas Production
ARCH;Arch Resources Inc. Class A Common Stock;$87.88;4.91;5918%;1345976144.00;United States;2016;268252;Energy;Coal Mining
ARLP;Alliance Resource Partners L.P. Common Units representing Limited Partners Interests;$11.0309;0.2409;2233%;1403077741.00;United States;1999;134311;Energy;Coal Mining
AROC;Archrock Inc. Common Stock;$8.395;0.025;0.299%;1293248306.00;United States;;106979;Energy;Oil & Gas Production
BATL;Battalion Oil Corporation Common Stock;$12.69;0.00;0.00%;206441390.00;;;60;Energy;Oil & Gas Production
BBL;BHP Group PlcSponsored ADR;$53.26;2.52;4966%;134692494550.00;Australia;;1116124;Energy;Coal Mining
BKEP;Blueknight Energy Partners L.P. Common Units;$3.47;0.29;9119%;144050398.00;United States;2011;122152;Energy;Oil & Gas Production
BKEPP;Blueknight Energy Partners L.P. Series A Preferred Units;$8.24;-0.01;-0.121%;0.00;United States;;6003;Energy;Oil & Gas Production
BKR;Baker Hughes Company Class A Common Stock;$24.195;0.115;0.478%;21048876970.00;;2017;1327488;Energy;Oilfield Services/Equipment
BLZE;Backblaze Inc. Class A Common Stock;$18.85;2.85;17813%;;United States;;4242701;Energy;Oil & Gas Production
BORR;Borr Drilling Limited Common Shares;$1.295;0.005;0.388%;354342672.00;;2019;293161;Energy;Oil & Gas Production
BP;BP p.l.c. Common Stock;$27.595;0.175;0.638%;91564019159.00;United Kingdom;;3213906;Energy;Integrated oil Companies
BPMP;BP Midstream Partners LP Common Units representing Limited Partner Interests;$13.04;0.02;0.154%;1366520802.00;United States;2017;100714;Energy;Oil & Gas Production
