Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
AAL;American Airlines Group Inc. Common Stock;$21.565;-0.005;-0.023%;13963650667.00;United States;;8740036;Transportation;Air Freight/Delivery Services
AAWW;Atlas Air Worldwide Holdings NEW Common Stock;$85.17;1.41;1683%;2472339544.00;United States;;110034;Transportation;Transportation Services
AIRT;Air T Inc. Common Stock;$30.50;0.30;0.993%;87896517.00;United States;;6664;Transportation;Air Freight/Delivery Services
AIRTP;Air T Inc. Air T Funding Alpha Income Trust Preferred Securities;$25.1463;0.00;0.00%;0.00;United States;;20;Transportation;Air Freight/Delivery Services
ALGT;Allegiant Travel Company Common Stock;$188.355;-1.865;-0.98%;3406913631.00;United States;2006;30463;Transportation;Air Freight/Delivery Services
ALK;Alaska Air Group Inc. Common Stock;$57.175;-0.365;-0.634%;7164637443.00;United States;;259553;Transportation;Air Freight/Delivery Services
ARCB;ArcBest Corporation Common Stock;$112.00;5.19;4859%;2863654304.00;United States;;192505;Transportation;Trucking Freight/Courier Services
ASC;Ardmore Shipping Corporation Common Stock;$4.125;0.205;5.23%;141751022.00;;2013;63053;Transportation;Marine Transportation
ASLE;AerSale Corporation Common Stock;$18.46;-0.04;-0.216%;792843358.00;United States;2019;329045;Transportation;Aerospace
ASLEW;AerSale Corporation Warrants;$7.195;-0.045;-0.622%;0.00;United States;2019;169049;Transportation;Aerospace
ASR;Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock;$206.80;0.32;0.155%;6204000000.00;Mexico;;12028;Transportation;Aerospace
ATCO;Atlas Corp. Common Shares;$14.70;-0.02;-0.136%;3631011426.00;United Kingdom;;162971;Transportation;Marine Transportation
AZUL;Azul S.A. American Depositary Shares (each representing three preferred shares);$16.31;1.79;12328%;1879982539.00;Brazil;2017;2553253;Transportation;Air Freight/Delivery Services
BKNG;Booking Holdings Inc. Common Stock;$2497.81;-71.97;-2801%;102568783468.00;United States;;142248;Transportation;Other Consumer Services
BLDE;Blade Air Mobility Inc. Class A Common Stock;$10.36;-0.11;-1051%;719270786.00;United States;2019;289861;Transportation;Aerospace
BLDEW;Blade Air Mobility Inc. Warrants;$2.8011;-0.0239;-0.846%;0.00;United States;2019;6231;Transportation;Aerospace
CAAP;Corporacion America Airports SA Common Shares;$6.095;0.075;1246%;978931737.00;;2018;27166;Transportation;Aerospace
CEA;China Eastern Airlines Corporation Ltd. Common Stock;$19.44;0.205;1066%;6368353177.00;China;1997;2278;Transportation;Air Freight/Delivery Services
CHRW;C.H. Robinson Worldwide Inc. Common Stock;$93.215;0.355;0.382%;12116781270.00;United States;1997;161099;Transportation;Oil Refining/Marketing
CMRE;Costamare Inc. Common Stock $0.0001 par value;$13.32;0.24;1835%;1643960194.00;Greece;2010;195718;Transportation;Marine Transportation
CPA;Copa Holdings S.A. Copa Holdings S.A. Class A Common Stock;$78.56;2.00;2612%;3337542019.00;Panama;2005;331054;Transportation;Air Freight/Delivery Services
CPLP;Capital Product Partners L.P. Common Units;$14.705;0.485;3411%;268685201.00;Greece;2007;22727;Transportation;Marine Transportation
CSX;CSX Corporation Common Stock;$35.115;-0.355;-1001%;77884487477.00;United States;;3684626;Transportation;Railroads
CTRM;Castor Maritime Inc. Common Shares;$2.275;0.005;0.22%;215237950.00;Cyprus;;1344172;Transportation;Marine Transportation
CVLG;Covenant Logistics Group Inc. Class A Common Stock;$29.17;0.37;1285%;490163200.00;United States;;45091;Transportation;Trucking Freight/Courier Services
DAC;Danaos Corporation Common Stock;$74.20;0.74;1007%;1528441348.00;Greece;2006;124759;Transportation;Marine Transportation
DAL;Delta Air Lines Inc. Common Stock;$43.9125;0.2025;0.463%;28104606783.00;United States;;3333053;Transportation;Air Freight/Delivery Services
DESP;Despegar.com Corp. Ordinary Shares;$12.37;-0.04;-0.322%;867128687.00;;2017;96304;Transportation;Other Consumer Services
DHT;DHT Holdings Inc.;$6.295;0.105;1696%;1049300211.00;Jersey;2005;674096;Transportation;Marine Transportation
DSX;Diana Shipping inc. common stock;$4.925;0.155;3249%;450809885.00;Greece;2005;316346;Transportation;Marine Transportation
ECHO;Echo Global Logistics Inc. Common Stock;$48.165;0.005;0.01%;1282677058.00;United States;2009;158150;Transportation;Oil Refining/Marketing
EGLE;Eagle Bulk Shipping Inc. Common Stock;$41.75;1.78;4453%;537071917.00;United States;;194383;Transportation;Marine Transportation
EH;EHang Holdings Limited ADS;$24.84;0.96;4.02%;1376857180.00;China;2019;278543;Transportation;Air Freight/Delivery Services
ESEA;Euroseas Ltd. Common Stock (Marshall Islands);$37.13;2.84;8282%;207937617.00;Greece;;110030;Transportation;Marine Transportation
EURN;Euronav NV Ordinary Shares;$10.205;0.095;0.94%;2058123796.00;;2015;320070;Transportation;Marine Transportation
EXPD;Expeditors International of Washington Inc. Common Stock;$127.10;1.58;1259%;21531225776.00;United States;;139956;Transportation;Oil Refining/Marketing
EXPE;Expedia Group Inc. Common Stock;$183.84;-1.83;-0.986%;27856840970.00;United States;;668672;Transportation;Other Consumer Services
FDX;FedEx Corporation Common Stock;$251.44;2.92;1175%;66795050081.00;United States;;649037;Transportation;Air Freight/Delivery Services
FRO;Frontline Ltd. Ordinary Shares;$8.49;0.21;2536%;1727978012.00;Bermuda;;477440;Transportation;Marine Transportation
FWRD;Forward Air Corporation Common Stock;$107.14;1.54;1458%;2888306155.00;United States;;16965;Transportation;Oil Refining/Marketing
GASS;StealthGas Inc. Common Stock;$2.76;0.04;1471%;105438020.00;Greece;2005;70922;Transportation;Marine Transportation
GATX;GATX Corporation Common Stock;$104.74;0.16;0.153%;3718270000.00;United States;;6640;Transportation;Rental/Leasing Companies
GLBS;Globus Maritime Limited Common Stock;$2.8751;0.0051;0.178%;59152696.00;Greece;;341528;Transportation;Marine Transportation
